id,title,description,location,salary,created_at,company_name,employment_type,experience_level,industry,remote_option,job_function,required_skills,education_level,application_deadline,benefits,company_website,how_to_apply,company_size,hiring_manager_contact,work_schedule,job_duration,languages_required,posted_by
4,"Junior Mobile Programmer","Make a great software for financial institution","Jakarta, Bandung","Rp 5.000.000 - 10.000.000","2025-06-07 11:45:14",Astra,"Full Timee",Junior,Software,Yes,Development,"Javascript, PHP",Bachelor,2025-06-25,"Remote Work",https://www.microsoft.com,"Send Your CV to microsoft@mail.com",2000,"John Doe","Monday - Friday",Permanent,English,"HR Department"
6,"Senior App Developer","This job is making a financial application",Batam,"Rp 8.000.000 - 10.000.000","2025-06-07 15:54:36",Apple,"Full Time",Middle,Software,Hybrid,Development,"Javascript, PHP",Bachelor,2025-06-06,"Health Insurance",https://apple.com,"Send your CV to jobs@apple.com",3000,john@apple.com,Monday-Friday,Permanent,English,"HR Department"
7,"UX/UI Designer","Design intuitive user experiences and visually appealing interfaces for web and mobile apps.","Austin, TX","$75,000 - $95,000","2025-06-08 00:00:00","DesignHive Studios",Full-time,Mid-level,"Design & Creative",Hybrid,Design,"Figma, Adobe XD, User Research, Wireframing","Bachelor's in Design or related field",2025-07-15,"Health Insurance, Paid Time Off, Gym Membership",https://www.designhive.com,"Portfolio and resume to jobs@designhive.com","51-100 employees",emily.ray@designhive.com,"Mon–Fri, 9am–6pm",Permanent,English,"Emily Ray (Design Lead)"
8,"HR Coordinator","Support HR operations, including recruitment, onboarding, and employee records management.","Chicago, IL","$50,000 - $60,000","2025-06-08 00:00:00","Greenway Logistics",Full-time,Entry-level,"Logistics & Supply Chain",On-site,"Human Resources","Communication, ATS tools, Microsoft Office","Bachelor's Degree in Human Resources or similar",2025-07-05,"401k, Medical Insurance, Career Growth Programs",https://www.greenwaylogistics.com,"Submit via LinkedIn job post","1001-5000 employees",robert.jenkins@greenway.com,"Mon–Fri, 8am–5pm",Permanent,English,"Robert Jenkins (HR Manager)"
9,"Mobile App Developer","Build and maintain cross-platform mobile applications using Flutter and native technologies.","Seattle, WA","$110,000 - $130,000","2025-06-08 00:00:00","Appify Solutions",Full-time,Mid-level,"Software Development",Remote,Engineering,"Flutter, Dart, Android SDK, iOS, REST APIs","Bachelor's in Computer Science or equivalent",2025-07-20,"Remote Work, Equipment Stipend, Annual Bonus",https://www.appify.dev,"Apply at https://appify.dev/careers","51-200 employees",natalie.wong@appify.dev,"Flexible Hours",Permanent,English,"Natalie Wong (CTO)"
10,"Project Manager","Lead cross-functional teams to deliver tech projects on time and within budget.","Boston, MA","$95,000 - $115,000","2025-06-08 00:00:00","FusionWorks Ltd.",Full-time,Senior-level,Consulting,Hybrid,"Project Management","Agile, Scrum, Jira, Risk Management, Communication","PMP Certification preferred",2025-06-28,"Healthcare, Paid Certifications, Profit Sharing",https://www.fusionworks.com,"Apply via email: hr@fusionworks.com","201-500 employees",daniel.thompson@fusionworks.com,"Mon–Fri, 9am–6pm",Permanent,English,"Daniel Thompson (Project Director)"
11,"Customer Support Representative","Assist customers with inquiries and troubleshoot product issues via chat and email.",Remote,$20/hour,"2025-06-08 00:00:00","HelpFirst Co.",Part-time,Entry-level,"Customer Service",Remote,Support,"Zendesk, Typing, Problem Solving, CRM Systems","High School Diploma or equivalent",2025-06-25,"Flexible Schedule, Remote Work, Training Provided",https://www.helpfirst.co,"Apply at helpfirst.co/apply-now","11-50 employees",linda.martin@helpfirst.co,"Shifts vary (20-25 hrs/week)",Ongoing,English,"Linda Martin (Customer Support Lead)"
12,"Finance Analyst","Prepare financial reports, forecasts, and analysis to support decision-making.","Atlanta, GA","$70,000 - $85,000","2025-06-08 00:00:00","FinScope Corp.",Full-time,Mid-level,Finance,On-site,Finance,"Excel, Financial Modeling, SAP, Reporting Tools","Bachelor's Degree in Finance or Accounting",2025-07-10,"401k, Health Insurance, Performance Bonus",https://www.finscope.com,"Send resume to jobs@finscope.com","501-1000 employees",michelle.kim@finscope.com,"Mon–Fri, 9am–6pm",Permanent,English,"Michelle Kim (Finance Manager)"
13,"Content Writer","Write and edit blog posts, website content, and marketing materials for various clients.",Remote,$30/hour,"2025-06-08 00:00:00","CreativeWords Agency",Freelance,Mid-level,"Media & Writing",Remote,Content,"Copywriting, SEO, WordPress, Grammarly, Research","Bachelor's Degree in English or Journalism",2025-07-08,"Flexible hours, Remote, Paid per article",https://www.creativewords.io,"Apply via Google Form on careers page","11-50 employees",jordan.white@creativewords.io,"Set your own schedule",Project-based,English,"Jordan White (Content Manager)"
14,"Operations Manager","Oversee daily operations and ensure productivity and quality targets are met.","Denver, CO","$85,000 - $105,000","2025-06-08 00:00:00","NextGen Manufacturing",Full-time,Senior-level,Manufacturing,On-site,Operations,"Leadership, ERP Systems, Supply Chain, KPIs","Bachelor's in Business, Engineering preferred",2025-07-18,"Medical, Life Insurance, Bonus Structure",https://www.nextgenmfg.com,"Apply through company website","501-1000 employees",rachel.lee@nextgenmfg.com,"Mon–Fri, 6am–3pm",Permanent,English,"Rachel Lee (Director of Ops)"
